seed,n,eph,per
21,13000,2.68353e-2,0.9966342
21,13000,2.61931e-2,0.9661662
21,13000,2.74908e-2,1.3712454
21,13000,3.40586e-2,1.247278
22,13000,6.22332e-2,1.2553959
22,13000,4.91799e-2,1.4503491
22,13000,3.55793e-2,1.1281253
22,13000,3.43242e-2,1.5956533
22,13000,7.26767e-2,1.4844728
22,13000,5.499e-2,1.2463511
22,13000,3.45992e-2,1.2216064
22,13000,3.4565e-2,1.4241725
22,13000,3.45332e-2,1.2546332
22,13000,4.4661e-2,1.2639801
23,13000,3.55157e-2,1.4629626
23,13000,3.19621e-2,1.4017296
23,13000,3.42257e-2,1.4654383
23,13000,3.78578e-2,1.396595
23,13000,4.66937e-2,1.4949819
23,13000,3.48986e-2,1.4381697
23,13000,3.55533e-2,1.4598701
23,13000,5.97881e-2,1.4549516
23,13000,3.75383e-2,1.3537682
23,13000,4.36965e-2,1.4582527
24,13000,4.78913e-2,1.4373734
24,13000,3.16358e-2,1.4359131
24,13000,3.47426e-2,1.2390484
24,13000,5.30392e-2,1.5329515
24,13000,4.26603e-2,1.3248045
24,13000,6.07149e-2,1.3786914
24,13000,3.72141e-2,1.4621876
24,13000,3.2837e-2,1.3867373
24,13000,3.3369e-2,1.3854925
24,13000,5.39852e-2,1.4835886
25,13000,3.20718e-2,1.4499792
25,13000,5.4582e-2,1.2218928
25,13000,6.31478e-2,1.2894304
25,13000,7.59887e-2,1.3366601
25,13000,3.44911e-2,1.4456921
25,13000,6.36949e-2,1.3392224
25,13000,3.57111e-2,1.3702225
25,13000,3.52788e-2,1.4858214
25,13000,6.23095e-2,1.3896893
25,13000,3.6398e-2,1.4101942
26,13000,6.56469e-2,1.3370707
26,13000,6.3336e-2,1.3838926
26,13000,3.61761e-2,1.4010267
26,13000,3.66548e-2,1.3393799
26,13000,3.42113e-2,1.2174907
26,13000,4.78573e-2,1.5660542
26,13000,5.26676e-2,1.3615137
26,13000,7.73533e-2,1.4114969
26,13000,3.87783e-2,1.2189069
26,13000,4.92902e-2,1.528669
27,13000,6.02627e-2,1.1735925
27,13000,8.66898e-2,1.4639837
27,13000,5.717e-2,1.3730999
27,13000,5.40333e-2,1.608359
27,13000,5.67466e-2,1.4099893
27,13000,7.19269e-2,1.5204318
27,13000,3.3632e-2,1.3290251
27,13000,5.3014e-2,1.5185115
27,13000,4.82084e-2,1.2635501
27,13000,3.42454e-2,1.4450678
28,13000,3.35592e-2,1.2631907
28,13000,3.64435e-2,1.5798726
28,13000,6.16197e-2,1.2278552
28,13000,9.03176e-2,1.4153873
28,13000,3.34116e-2,1.3352533
28,13000,3.44165e-2,1.2546143
28,13000,6.47223e-2,1.5277503
28,13000,3.69399e-2,1.3288709
28,13000,6.13161e-2,1.4921408
28,13000,4.54032e-2,1.2342797
29,13000,3.98332e-2,1.4214269
29,13000,7.7394e-2,1.5123869
29,13000,3.5203e-2,1.3769757
29,13000,3.43482e-2,1.3730679
29,13000,4.78374e-2,1.4866824
29,13000,3.49787e-2,1.2285228
29,13000,4.66338e-2,1.5387192
29,13000,3.43551e-2,1.4672756
29,13000,6.33627e-2,1.2650658
29,13000,5.84599e-2,1.4223393
0,16900,5.42241e-2,1.9359397
0,16900,4.55457e-2,1.6054774
0,16900,7.03009e-2,2.0622714
0,16900,4.77299e-2,1.8682628
0,16900,6.08277e-2,1.601145
0,16900,6.6279e-2,1.9248572
0,16900,6.6899e-2,1.9288463
0,16900,5.21032e-2,1.5974541
0,16900,6.60544e-2,1.993932
0,16900,7.34631e-2,1.8528048
1,16900,8.37373e-2,2.0002717
1,16900,7.16439e-2,1.7890319
1,16900,4.60332e-2,1.8004747
1,16900,7.85716e-2,1.8737874
1,16900,7.5493e-2,1.7515199
1,16900,7.66589e-2,1.7454246
1,16900,5.74322e-2,1.9133293
1,16900,4.70583e-2,1.8571403
1,16900,7.12296e-2,1.7984939
1,16900,4.54901e-2,1.829235
2,16900,4.47314e-2,1.5428156
2,16900,9.51688e-2,1.7986297
2,16900,4.55884e-2,1.7119561
2,16900,9.57224e-2,1.8674968
2,16900,4.61805e-2,1.9579924
2,16900,4.34791e-2,1.7543483
2,16900,4.80386e-2,1.7570919
2,16900,7.16459e-2,1.9057711
2,16900,6.02887e-2,1.7146802
2,16900,6.95778e-2,1.8617263
3,16900,7.82724e-2,1.8012559
3,16900,7.6213e-2,1.8424656
3,16900,6.67954e-2,1.8449043
3,16900,7.83583e-2,1.9471576
3,16900,5.33876e-2,1.8433863
3,16900,4.73876e-2,1.7204679
3,16900,7.47219e-2,1.9713461
3,16900,5.50946e-2,1.8609204
3,16900,0.1072386,2.1628646
3,16900,4.6694e-2,1.7967913
4,16900,5.89778e-2,1.6190093
4,16900,6.66409e-2,2.0842078
4,16900,7.64886e-2,1.7177622
4,16900,6.73337e-2,1.8686523
4,16900,7.03021e-2,2.025954
4,16900,6.43448e-2,2.1357926
4,16900,5.8994e-2,1.8476862
4,16900,7.31177e-2,1.6435372
4,16900,4.89806e-2,1.9160475
4,16900,4.69563e-2,1.8573486
5,16900,6.56711e-2,1.9146812
5,16900,6.83846e-2,1.9227964
5,16900,8.23096e-2,1.9466123
5,16900,6.566e-2,1.8839121
5,16900,7.04475e-2,1.8580961
5,16900,7.08988e-2,1.7782121
5,16900,9.44064e-2,1.997529
5,16900,7.81247e-2,1.9017048
5,16900,0.1022765,1.8624562
5,16900,9.72327e-2,1.9719637
6,16900,9.11113e-2,1.8837528
6,16900,4.74226e-2,1.837959
6,16900,4.66851e-2,1.8589023
6,16900,0.1174931,1.7804353
6,16900,8.1619e-2,1.8219911
6,16900,0.1017145,1.7913141
6,16900,6.59927e-2,1.7678685
6,16900,9.50592e-2,1.7171226
6,16900,6.95981e-2,1.7985872
6,16900,0.1071829,1.8386412
7,16900,8.11234e-2,2.0191323
7,16900,9.74711e-2,1.9977374
7,16900,4.27432e-2,1.7228932
7,16900,6.33153e-2,1.8431582
7,16900,6.19302e-2,1.8468633
7,16900,8.96715e-2,1.8158762
7,16900,4.74584e-2,1.7901786
7,16900,0.118356,1.7898749
7,16900,4.63366e-2,1.7934254
7,16900,6.7459e-2,1.8699836
8,16900,4.60054e-2,1.629998
8,16900,9.83388e-2,1.908767
8,16900,4.63753e-2,1.6190351
8,16900,6.89305e-2,1.966661
8,16900,5.099e-2,1.8704439
8,16900,9.20586e-2,2.004364
8,16900,7.35299e-2,1.6593772
8,16900,8.83528e-2,1.9395608
8,16900,4.74251e-2,1.7712861
8,16900,0.1081592,1.8620631
9,16900,7.1273e-2,1.7162514
9,16900,0.1175615,1.843118
9,16900,7.11729e-2,1.8059446
9,16900,9.42422e-2,1.8301955
9,16900,6.62251e-2,1.8452251
9,16900,6.82278e-2,1.8441979
9,16900,6.6334e-2,1.8006353
